seed,experiment,treatment,control,diff
24008,E5_recursive_strengthening,0.9945718270898173,0.12113382427698062,0.8734380028128367
24008,E6_clone_divergence,0.0377505361028094,0.0,0.0377505361028094
24008,E7_observation_x_thought,0.2602040816326531,0.030973451327433628,0.22923063030521945
24008,E8_dream_recombination,1.0,0.0,1.0
24008,E9_lora_validated_internalization,0.9459999799728394,0.7179999947547913,0.2279999852180481
24008,E10_validated_vs_unvalidated,0.8471428751945496,0.4957142770290375,0.3514285981655121
24008,E11_verified_sharpening,0.9725000262260437,0.8450000286102295,0.1274999976158142
24008,E12_anchor_preservation,0.8820000290870667,0.8220000267028809,0.06000000238418579
24061,E1_recall_competition,0.321110995733597,0.04908734532651657,0.27202365040708043
24061,E2_associative_chain,0.6181818181818182,0.031818181818181815,0.5863636363636363
24061,E3_endogenous_transfer,0.35833333333333334,0.0,0.35833333333333334
24061,E4_goal_directed,0.2388888888888889,0.027777777777777776,0.21111111111111114
24061,E5_recursive_strengthening,0.9947421144131366,0.12458695862329094,0.8701551557898457
24061,E6_clone_divergence,0.03677859268975599,0.0,0.03677859268975599
24061,E7_observation_x_thought,0.21182266009852216,0.09777777777777778,0.11404488232074438
24061,E8_dream_recombination,1.0,0.0,1.0
24061,E9_lora_validated_internalization,0.9800000190734863,0.7680000066757202,0.2120000123977661
24061,E10_validated_vs_unvalidated,0.9571428298950195,0.6371428370475769,0.3199999928474426
24061,E11_verified_sharpening,0.981249988079071,0.8212500214576721,0.15999996662139893
24061,E12_anchor_preservation,0.5680000185966492,0.5059999823570251,0.06200003623962402
24114,E1_recall_competition,0.3177717274169026,0.09859586325520005,0.2191758641617026
24114,E2_associative_chain,0.5727272727272728,0.045454545454545456,0.5272727272727273
24114,E3_endogenous_transfer,0.25,0.0,0.25
24114,E4_goal_directed,0.2722222222222222,0.06666666666666667,0.20555555555555555
24114,E5_recursive_strengthening,0.9948194165581064,0.12621992441957816,0.8685994921385282
24114,E6_clone_divergence,0.03532534668441773,0.0,0.03532534668441773
24114,E7_observation_x_thought,0.17061611374407584,0.06696428571428571,0.10365182802979013
24114,E8_dream_recombination,1.0,0.0,1.0
24114,E9_lora_validated_internalization,0.9660000205039978,0.8180000185966492,0.14800000190734863
24114,E10_validated_vs_unvalidated,0.9442856907844543,0.7028571367263794,0.24142855405807495
24114,E11_verified_sharpening,0.9837499856948853,0.8787500262260437,0.10499995946884155
24114,E12_anchor_preservation,0.7319999933242798,0.6159999966621399,0.11599999666213989
24167,E1_recall_competition,0.3474368521182849,0.06367471279304905,0.28376213932523586
24167,E2_associative_chain,0.6090909090909091,0.04090909090909091,0.5681818181818182
24167,E3_endogenous_transfer,0.20833333333333334,0.0,0.20833333333333334
24167,E4_goal_directed,0.25,0.08888888888888889,0.1611111111111111
24167,E5_recursive_strengthening,0.9947252162792881,0.12423557342133687,0.8704896428579513
24167,E6_clone_divergence,0.03668365057409592,0.0,0.03668365057409592
24167,E7_observation_x_thought,0.17307692307692307,0.05106382978723404,0.12201309328968904
24167,E8_dream_recombination,1.0,0.0,1.0
24167,E9_lora_validated_internalization,0.9879999756813049,0.8019999861717224,0.18599998950958252
24167,E10_validated_vs_unvalidated,0.9428571462631226,0.6614285707473755,0.28142857551574707
24167,E11_verified_sharpening,0.987500011920929,0.7225000262260437,0.26499998569488525
24167,E12_anchor_preservation,0.8199999928474426,0.7400000095367432,0.07999998331069946
24220,E1_recall_competition,0.34470493185311185,0.07553485716805196,0.2691700746850599
24220,E2_associative_chain,0.6363636363636364,0.02727272727272727,0.6090909090909091
24220,E3_endogenous_transfer,0.30833333333333335,0.0,0.30833333333333335
